Title,Description
Bharadvaja's Twist,Bharadvajasana
Boat Pose,Paripurna Navasana
Bound Angle Pose / Butterfly Pose,Baddha Konasana
Bow Pose,Dhanurasana
Bridge Pose,Setu Bandha Sarvangasana
Camel Pose,Ustrasana
Cat Pose,Majaryasana
Chair Pose / Powerful Pose,Utkatasana
Childs Pose,Balasana
Cobra Pose,Bhujangasana
Cow Face Pose,Gomukhasana
Cow Pose,Bitilasana
Crescent Pose / High Lunge,Anjaneyasana
Crow Pose,Bakasana
Dancer's Pose,Natarajasana
Dolphin Pose,Forearm Adho Mukha Svanasana
Downward Dog Pose,Adho Mukha Svanasana
Eagle pose,Garudasana
Easy Pose,Sukhasana
Extended Hand To Big Toe Pose A-B,Utthita Hasta Padangustasana A-B
Extended Side Angle Pose,Utthita Parsvakonasana
Triangle Pose,Utthita Trikonasana
Fish Pose,Matsyasana
Forearm Balance,Pincha Mayurasana
Forearm Plank,Phalakasana Forearm Variation
Four Limbed Staff Pose,Chaturanga Dandasana
Gate Pose,Parighasana
Half Frog Pose,Ardha Bhekasana
Half Lord Of The Fishes Pose,Ardha Matsyendrasana
Half Standing Forward Bend,Ardha Uttanasana
Half-Moon Pose,Ardha Chandrasana
Hand to Big Toe Forward Fold,Padangusthasana
Happy Baby Pose,Ananda Balasana
Head to Knee Pose,Janu Sirsasana
Headstand,Salamba Sirsasana
Hero Pose,Virasana
Heron Pose,Krounchasana
Locust Pose,Salabhasana
Intense Side Stretch Pose,Parsvottanasana
Lotus Pose,Padmasana
Low lunge,Anjaneyasana
Mountain Pose,Tadasana
Pigeon Pose,Eka Pada Rajakapotasana
Plank Pose,Phalakasana
Plough Pose,Halasana
Pose dedicated to the sage Marichi A,Marichyasana A
Pose dedicated to the sage Marichi C,Marichyasana C
Reclined Butterfly Pose,Supta Baddha Konasana
Reclined Big Toe Pose,Supta Padangusthasana
Reclining Hero Pose - Saddle Pose,Supta Virasana
Revolved Head to Knee Pose,Parivrtta Janu Sirsasana
Reverse Warrior Pose,Viparita Virabhadrasana
Revolved Triangle Pose,Parivrtta Trikonasana
Seated Forward Bend,Paschimottanasana
Shoulderstand,Salamba Sarvangasana
Side Plank Pose,Vasisthasana
Sphinx Pose,Salamba Bhujangasana
Staff Pose,Dandasana
Standing Forward Bend,Uttanasana
Standing Splits,Urdhva Prasarita Eka Padasana
Tree Pose,Vrksasana
Upward Bow or Wheel Pose,Urdhva Dhanurasana
Upward Facing Dog Pose,Urdhva Mukha Svanasana
Upward Facing Wide-Angle Seated Pose,Urdhva Upavistha Konasana
Upward Plank Pose,Purvottanasana
Warrior 1 Pose,Virabhadrasana I
Warrior 2 Pose,Virabhadrasana II
Warrior 3,Prasarita Padottanasana
Wide Legged Forward Bend,Prasarita Padottanasana
Wide Legged Forward Bend C,Prasarita Padottanasana C
Wide Legged Forward Bend D,Prasarita Padottanasana D
Wide-Angle Seated Forward Bend,Upavishta Konasana
